"totalCareless","totalCareful","ls_info","ls_rCareless","ls_rCareful","eo_simul_info","eo_simul_rCareless","eo_simul_rCareful","out_simul_info","out_simul_rCareless","out_simul_rCareful","any_flag_lsf_info","any_flag_lsf_rCareless","any_flag_lsf_rCareful","any_flag_simul_rCareless","any_flag_simul_rCareful","all_flags_info","all_flags_rCareless","all_flags_rCareful","ls_or_agree_lsf_info","ls_or_agree_lsf_rCareless","ls_or_agree_lsf_rCareful","ls_or_agree_simul_info","ls_or_agree_simul_rCareless","ls_or_agree_simul_rCareful","ls_or_out_lsf_info","ls_or_out_lsf_rCareless","ls_or_out_lsf_rCareful","ls_or_eo_simul_info","ls_or_eo_simul_rCareless","ls_or_eo_simul_rCareful","ls_or_outsq_info","ls_or_outsq_rCareless","ls_or_outsq_rCareful","ls_rCareless_prop","eo_rCareless_prop","out_rCareless_prop","any_flag_lsf_rCareless_prop","all_flags_rCareless_prop","ls_or_agree_rCareless_prop","ls_or_agree_simul_rCareless_prop","ls_or_out_lsf_rCareless_prop","ls_or_eo_simul_rCareless_prop","ls_or_outsq_rCareless_prop","ls_r_prop","eo_r_prop","out_r_prop","any_flag_lsf_r_prop","all_flags_r_prop","ls_or_agree_r_prop","ls_or_agree_simul_r_prop","ls_or_out_lsf_r_prop","ls_or_eo_simul_r_prop","ls_or_outsq_r_prop","propCareless","ls_rCareful_prop","eo_rCareful_prop","out_rCareful_prop","any_flag_lsf_rCareful_prop","all_flags_rCareful_prop","ls_or_agree_rCareful_prop","ls_or_agree_simul_rCareful_prop","ls_or_out_lsf_rCareful_prop","ls_or_eo_simul_rCareful_prop","ls_or_outsq_rCareful_prop"
50,450,0.104444444444444,44,443,-0.168888888888889,30,194,0.208888888888889,26,328,-0.0111111111111111,14,121,13,123,0.0377777777777777,48,449,0.146666666666667,36,390,0.111111111111111,38,392,0.253333333333333,23,321,-0.133333333333333,28,398,0.104444444444444,34,307,0.0903490759753593,0.133928571428571,0.0734463276836158,0.103703703703704,0.096579476861167,0.0845070422535211,0.0883720930232558,0.0668604651162791,0.0657276995305164,0.0997067448680352,0.974,0.448,0.708,0.27,0.994,0.852,0.86,0.688,0.852,0.682,0.1,0.984444444444444,0.431111111111111,0.728888888888889,0.268888888888889,0.997777777777778,0.866666666666667,0.871111111111111,0.713333333333333,0.884444444444444,0.682222222222222
25,475,0.351578947368421,16,471,-0.221052631578947,17,218,0.28,11,342,0.141052631578947,4,143,5,144,0.12,22,475,0.265263157894737,15,411,0.263157894736842,15,410,0.431578947368421,7,338,-0.0252631578947369,12,414,0.351578947368421,11,315,0.0328542094455852,0.0723404255319149,0.0311614730878187,0.0272108843537415,0.0442655935613682,0.0352112676056338,0.0352941176470588,0.0202898550724638,0.028169014084507,0.0337423312883436,0.974,0.47,0.706,0.294,0.994,0.852,0.85,0.69,0.852,0.652,0.05,0.991578947368421,0.458947368421053,0.72,0.301052631578947,1,0.865263157894737,0.863157894736842,0.711578947368421,0.871578947368421,0.663157894736842
60,440,0.214393939393939,47,439,-0.0121212121212122,28,200,0.0810606060606061,37,307,0.116666666666667,11,132,13,129,0.05,57,440,0.278030303030303,35,379,0.240151515151515,37,377,0.306818181818182,24,311,0.0878787878787879,22,392,0.214393939393939,31,308,0.0967078189300412,0.12280701754386,0.107558139534884,0.0769230769230769,0.114688128772636,0.0845410628019324,0.0893719806763285,0.0716417910447761,0.0531400966183575,0.0914454277286136,0.972,0.456,0.688,0.286,0.994,0.828,0.828,0.67,0.828,0.678,0.12,0.997727272727273,0.454545454545455,0.697727272727273,0.3,1,0.861363636363636,0.856818181818182,0.706818181818182,0.890909090909091,0.7
37,463,0.0184460918802172,34,434,-0.0761776895686183,20,215,0.144124686241317,20,317,0.0451228766563538,8,121,8,120,-0.00647948164146872,37,460,0.0553382756406515,28,376,0.0639775844959432,28,380,0.179849395832117,17,296,-0.0707489346798202,19,385,0.0184460918802172,23,312,0.0726495726495727,0.0851063829787234,0.0593471810089021,0.062015503875969,0.0744466800804829,0.0693069306930693,0.0686274509803922,0.0543130990415335,0.047029702970297,0.0686567164179104,0.936,0.47,0.674,0.258,0.994,0.808,0.816,0.626,0.808,0.67,0.074,0.937365010799136,0.464362850971922,0.684665226781857,0.26133909287257,0.993520518358531,0.812095032397408,0.8207343412527,0.639308855291577,0.831533477321814,0.673866090712743
34,466,0.226710426659934,26,462,-0.0472103004291846,17,211,0.134940671547589,20,337,0.0795253723807119,7,133,8,132,0.0566776066649834,32,465,0.203357737944963,23,410,0.205503660691744,23,411,0.277707649583439,15,335,0.00517546074223674,15,418,0.226710426659934,15,309,0.0532786885245902,0.0745614035087719,0.0560224089635854,0.05,0.0643863179074447,0.0531177829099307,0.0529953917050691,0.0428571428571429,0.0346420323325635,0.0462962962962963,0.976,0.456,0.714,0.28,0.994,0.866,0.868,0.7,0.866,0.648,0.068,0.991416309012876,0.452789699570815,0.723175965665236,0.285407725321888,0.997854077253219,0.879828326180258,0.881974248927039,0.718884120171674,0.896995708154506,0.663090128755365
19,481,0.243024400919138,13,446,-0.0918043549622497,10,209,0.176386913229019,10,338,0.112375533428165,3,130,3,127,0.040157566473356,18,475,0.265784002626108,10,381,0.265784002626108,10,381,0.341175183280447,6,316,0.0390633548528285,7,384,0.243024400919138,7,307,0.028322440087146,0.045662100456621,0.028735632183908,0.0225563909774436,0.0365111561866126,0.0255754475703325,0.0255754475703325,0.0186335403726708,0.0179028132992327,0.0222929936305732,0.918,0.438,0.696,0.266,0.986,0.782,0.782,0.644,0.782,0.628,0.038,0.927234927234927,0.434511434511435,0.702702702702703,0.27027027027027,0.987525987525988,0.792099792099792,0.792099792099792,0.656964656964657,0.798336798336798,0.638253638253638
48,452,0.0908923303834808,43,446,-0.223266961651917,31,191,0.265117994100295,22,327,0.0549410029498525,10,119,10,122,0.0208333333333333,47,452,0.122603244837758,35,385,0.110619469026549,36,389,0.324115044247788,18,316,-0.142146017699115,27,393,0.0908923303834808,26,304,0.0879345603271984,0.13963963963964,0.0630372492836676,0.0775193798449612,0.094188376753507,0.0833333333333333,0.0847058823529412,0.0538922155688623,0.0642857142857143,0.0787878787878788,0.978,0.444,0.698,0.258,0.998,0.84,0.85,0.668,0.84,0.66,0.096,0.986725663716814,0.422566371681416,0.723451327433628,0.263274336283186,1,0.851769911504425,0.860619469026549,0.699115044247788,0.869469026548673,0.672566371681416
40,460,0.275,29,460,-0.303260869565217,29,194,0.309782608695652,17,338,0.11195652173913,7,132,9,135,0,40,460,0.258695652173913,24,395,0.26304347826087,24,397,0.503260869565217,9,335,-0.128260869565217,22,397,0.275,17,320,0.0593047034764826,0.130044843049327,0.047887323943662,0.0503597122302158,0.08,0.0572792362768496,0.0570071258907363,0.0261627906976744,0.0525059665871122,0.0504451038575668,0.978,0.446,0.71,0.278,1,0.838,0.842,0.688,0.838,0.674,0.08,1,0.421739130434783,0.734782608695652,0.28695652173913,1,0.858695652173913,0.86304347826087,0.728260869565217,0.86304347826087,0.695652173913043
52,448,0.303228021978022,36,446,-0.0343406593406592,25,200,0.0515109890109891,34,316,0.127403846153846,8,126,8,127,0.0576923076923077,49,448,0.229223901098901,33,387,0.209993131868132,34,387,0.297046703296703,21,314,0.0618131868131868,20,400,0.303228021978022,25,306,0.0746887966804979,0.111111111111111,0.0971428571428571,0.0597014925373134,0.0985915492957746,0.0785714285714286,0.0807600950118765,0.0626865671641791,0.0476190476190476,0.0755287009063444,0.964,0.45,0.7,0.268,0.994,0.84,0.842,0.67,0.84,0.662,0.104,0.995535714285714,0.446428571428571,0.705357142857143,0.28125,1,0.863839285714286,0.863839285714286,0.700892857142857,0.892857142857143,0.683035714285714
27,473,0.407407407407407,16,473,-0.0967817712003759,15,217,0.325189883329418,10,329,0.186986140474513,3,141,3,141,0.037037037037037,26,473,0.487980581003837,10,406,0.448829379061937,11,405,0.58656330749354,3,330,0.0884034139848093,10,406,0.407407407407407,6,332,0.032719836400818,0.0646551724137931,0.0294985250737463,0.0208333333333333,0.0521042084168337,0.0240384615384615,0.0264423076923077,0.00900900900900901,0.0240384615384615,0.0177514792899408,0.978,0.464,0.678,0.288,0.998,0.832,0.832,0.666,0.832,0.676,0.054,1,0.45877378435518,0.695560253699789,0.298097251585624,1,0.858350951374207,0.856236786469345,0.697674418604651,0.858350951374207,0.701902748414376
